Postcode,Borough,Neighbourhood
M1A,Not assigned,Not assigned
M2A,Not assigned,Not assigned
M3A,North York,Parkwoods
M4A,North York,Victoria Village
M5A,Downtown Toronto,"Regent Park,Harbourfront"
M6A,North York,"Lawrence Manor,Lawrence Heights"
M7A,Queen's Park,Not assigned
M8A,Not assigned,Not assigned
M9A,Etobicoke,Islington Avenue
M1B,Scarborough,"Malvern,Rouge"
M2B,Not assigned,Not assigned
M3B,North York,Don Mills North
M4B,East York,"Parkview Hill,Woodbine Gardens"
M5B,Downtown Toronto,"Garden District,Ryerson"
M6B,North York,Glencairn
M7B,Not assigned,Not assigned
M8B,Not assigned,Not assigned
M9B,Etobicoke,"West Deane Park,Princess Gardens"
M1C,Scarborough,"Port Union,Rouge Hill"
M2C,Not assigned,Not assigned
M3C,North York,"Don Mills South,Flemingdon Park"
M4C,East York,Woodbine Heights
M5C,Downtown Toronto,St. James Town
M6C,York,Humewood-Cedarvale
M7C,Not assigned,Not assigned
M8C,Not assigned,Not assigned
M9C,Etobicoke,"Old Burnhamthorpe,Markland Wood"
M1E,Scarborough,"West Hill,Morningside"
M2E,Not assigned,Not assigned
M3E,Not assigned,Not assigned
M4E,East Toronto,The Beaches
M5E,Downtown Toronto,Berczy Park
M6E,York,Caledonia-Fairbanks
M7E,Not assigned,Not assigned
M8E,Not assigned,Not assigned
M9E,Not assigned,Not assigned
M1G,Scarborough,Woburn
M2G,Not assigned,Not assigned
M3G,Not assigned,Not assigned
M4G,East York,Leaside
M5G,Downtown Toronto,Central Bay Street
M6G,Downtown Toronto,Christie
M7G,Not assigned,Not assigned
M8G,Not assigned,Not assigned
M9G,Not assigned,Not assigned
M1H,Scarborough,Cedarbrae
M2H,North York,Hillcrest Village
M3H,North York,"Wilson Heights,Downsview North"
M4H,East York,Thorncliffe Park
M5H,Downtown Toronto,"Richmond,King"
M6H,West Toronto,"Dufferin,Dovercourt Village"
M7H,Not assigned,Not assigned
M8H,Not assigned,Not assigned
M9H,Not assigned,Not assigned
M1J,Scarborough,Scarborough Village
M2J,North York,"Oriole,Henry Farm"
M3J,North York,"York University,Northwood Park"
M4J,East York,East Toronto
M5J,Downtown Toronto,"Union Station,Toronto Islands"
M6J,West Toronto,"Trinity,Little Portugal"
M7J,Not assigned,Not assigned
M8J,Not assigned,Not assigned
M9J,Not assigned,Not assigned
M1K,Scarborough,"Kennedy Park,Ionview"
M2K,North York,Bayview Village
M3K,North York,"Downsview East,CFB Toronto"
M4K,East Toronto,"Riverdale,The Danforth West"
M5K,Downtown Toronto,"Toronto Dominion Centre,Design Exchange"
M6K,West Toronto,"Parkdale Village,Exhibition Place"
M7K,Not assigned,Not assigned
M8K,Not assigned,Not assigned
M9K,Not assigned,Not assigned
M1L,Scarborough,"Oakridge,Golden Mile"
M2L,North York,"York Mills,Silver Hills"
M3L,North York,Downsview West
M4L,East Toronto,"India Bazaar,The Beaches West"
M5L,Downtown Toronto,"Victoria Hotel,Commerce Court"
M6L,North York,"Upwood Park,North Park"
M7L,Not assigned,Not assigned
M8L,Not assigned,Not assigned
M9L,North York,Humber Summit
M1M,Scarborough,"Scarborough Village West,Cliffside"
M2M,North York,"Willowdale,Newtonbrook"
M3M,North York,Downsview Central
M4M,East Toronto,Studio District
M5M,North York,"Lawrence Manor East,Bedford Park"
M6M,York,"Silverthorn,Mount Dennis"
M7M,Not assigned,Not assigned
M8M,Not assigned,Not assigned
M9M,North York,"Humberlea,Emery"
M1N,Scarborough,"Cliffside West,Birch Cliff"
M2N,North York,Willowdale South
M3N,North York,Downsview Northwest
M4N,Central Toronto,Lawrence Park
M5N,Central Toronto,Roselawn
M6N,York,"Runnymede,The Junction North"
M7N,Not assigned,Not assigned
M8N,Not assigned,Not assigned
M9N,York,Weston
M1P,Scarborough,"Wexford Heights,Scarborough Town Centre"
M2P,North York,York Mills West
M3P,Not assigned,Not assigned
M4P,Central Toronto,Davisville North
M5P,Central Toronto,"Forest Hill West,Forest Hill North"
M6P,West Toronto,"The Junction South,High Park"
M7P,Not assigned,Not assigned
M8P,Not assigned,Not assigned
M9P,Etobicoke,Westmount
M1R,Scarborough,"Wexford,Maryvale"
M2R,North York,Willowdale West
M3R,Not assigned,Not assigned
M4R,Central Toronto,North Toronto West
M5R,Central Toronto,"Yorkville,North Midtown"
M6R,West Toronto,"Roncesvalles,Parkdale"
M7R,Mississauga,Canada Post Gateway Processing Centre
M8R,Not assigned,Not assigned
M9R,Etobicoke,"St. Phillips,Richview Gardens"
M1S,Scarborough,Agincourt
M2S,Not assigned,Not assigned
M3S,Not assigned,Not assigned
M4S,Central Toronto,Davisville
M5S,Downtown Toronto,"University of Toronto,Harbord"
M6S,West Toronto,"Swansea,Runnymede"
M7S,Not assigned,Not assigned
M8S,Not assigned,Not assigned
M9S,Not assigned,Not assigned
M1T,Scarborough,"Tam O'Shanter,Sullivan"
M2T,Not assigned,Not assigned
M3T,Not assigned,Not assigned
M4T,Central Toronto,"Summerhill East,Moore Park"
M5T,Downtown Toronto,"Kensington Market,Grange Park"
M6T,Not assigned,Not assigned
M7T,Not assigned,Not assigned
M8T,Not assigned,Not assigned
M9T,Not assigned,Not assigned
M1V,Scarborough,"Steeles East,Milliken"
M2V,Not assigned,Not assigned
M3V,Not assigned,Not assigned
M4V,Central Toronto,"Summerhill West,South Hill"
M5V,Downtown Toronto,"South Niagara,Railway Lands"
M6V,Not assigned,Not assigned
M7V,Not assigned,Not assigned
M8V,Etobicoke,"New Toronto,Mimico South"
M9V,Etobicoke,"Thistletown,South Steeles"
M1W,Scarborough,"Steeles West,L'Amoreaux West"
M2W,Not assigned,Not assigned
M3W,Not assigned,Not assigned
M4W,Downtown Toronto,Rosedale
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
M6W,Not assigned,Not assigned
M7W,Not assigned,Not assigned
M8W,Etobicoke,"Long Branch,Alderwood"
M9W,Etobicoke,Northwest
M1X,Scarborough,Upper Rouge
M2X,Not assigned,Not assigned
M3X,Not assigned,Not assigned
M4X,Downtown Toronto,"St. James Town,Cabbagetown"
M5X,Downtown Toronto,"Underground city,First Canadian Place"
M6X,Not assigned,Not assigned
M7X,Not assigned,Not assigned
M8X,Etobicoke,"Old Mill North,Montgomery Road"
M9X,Not assigned,Not assigned
M1Y,Not assigned,Not assigned
M2Y,Not assigned,Not assigned
M3Y,Not assigned,Not assigned
M4Y,Downtown Toronto,Church and Wellesley
M5Y,Not assigned,Not assigned
M6Y,Not assigned,Not assigned
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
M8Y,Etobicoke,"Sunnylea,Royal York South East"
M9Y,Not assigned,Not assigned
M1Z,Not assigned,Not assigned
M2Z,Not assigned,Not assigned
M3Z,Not assigned,Not assigned
M4Z,Not assigned,Not assigned
M5Z,Not assigned,Not assigned
M6Z,Not assigned,Not assigned
M7Z,Not assigned,Not assigned
M8Z,Etobicoke,"South of Bloor,Royal York South West"
M9Z,Not assigned,Not assigned
